schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00213007,Boston University,2023,2022,214,127,86,0,0,32,91,48,43,0,0,22,122,79,43,0,0,10,13,13,0,,,
00215510,Harvard University,2023,2022,369,219,150,0,0,94,203,115,88,0,0,50,166,104,62,0,0,44,21,21,0,,,
00219900,Northeastern University,2023,2022,134,62,72,0,0,35,59,20,39,0,0,21,75,42,33,0,0,14,4,4,0,,,
00221007,University of Massachusetts Dartmouth,2023,2022,59,41,18,0,0,8,26,13,13,0,0,3,33,28,5,0,0,5,3,3,0,,,
00221810,Suffolk University,2023,2022,163,95,68,0,0,26,74,39,35,0,0,13,89,56,33,0,0,13,6,6,0,,,
00222600,Western New England University,2023,2022,95,41,53,0,0,15,41,13,28,0,0,9,53,28,25,0,0,6,4,4,0,,,
00225400,Michigan State University,2023,2022,128,74,52,0,0,23,48,24,24,0,0,9,78,50,28,0,0,14,5,5,0,,,
00232300,University of Detroit Mercy,2023,2022,88,41,47,0,0,11,25,8,17,0,0,6,63,33,30,0,0,5,6,6,0,,,
00232503,University of Michigan,2023,2022,223,145,78,0,0,39,137,87,50,0,0,24,86,58,28,0,0,15,12,12,0,,,
00232902,Wayne State University,2023,2022,115,59,56,0,0,17,47,26,21,0,0,8,68,33,35,0,0,9,5,4,1,,,
00234500,University of St. Thomas (Minnesota),2023,2022,161,83,78,0,0,29,26,17,9,0,0,4,135,66,69,0,0,25,3,3,0,,,
00239101,Mitchell Hamline School of Law,2023,2022,146,66,79,0,1,24,52,25,27,0,0,13,94,41,52,0,1,11,4,4,0,,,
00241501,Mississippi College,2023,2022,46,22,24,0,0,7,20,7,13,0,0,4,26,15,11,0,0,3,3,3,0,,,
00244000,University of Mississippi,2023,2022,74,45,29,0,0,11,39,22,17,0,0,5,35,23,12,0,0,6,7,7,0,,,
00250609,Saint Louis University,2023,2022,131,62,69,0,0,21,50,18,32,0,0,6,81,44,37,0,0,15,8,5,3,,,
00251600,University of Missouri,2023,2022,61,38,23,0,0,9,39,23,16,0,0,5,22,15,7,0,0,4,4,4,0,,,
00251800,University of Missouri-Kansas City,2023,2022,113,67,46,0,0,12,40,21,19,0,0,6,73,46,27,0,0,6,0,0,0,,,
00252000,Washington University,2023,2022,231,122,106,0,3,37,136,65,71,0,0,22,95,57,35,0,3,15,8,7,1,,,
00253600,University of Montana,2023,2022,43,18,25,0,0,7,17,7,10,0,0,2,26,11,15,0,0,5,1,1,0,,,
00254200,Creighton University,2023,2022,69,45,24,0,0,7,28,16,12,0,0,3,41,29,12,0,0,4,4,4,0,,,
00256500,University of Nebraska,2023,2022,88,53,35,0,0,8,35,23,12,0,0,2,53,30,23,0,0,6,5,5,0,,,
